test_id,rand_ind,ref_time,ref_obsid,y_ang_offset,z_ang_offset,search_box_hw,ccd_temp,star_0_mag,star_1_mag,star_2_mag,star_3_mag,star_4_mag,star_5_mag,star_6_mag,star_7_mag,star_0_row,star_1_row,star_2_row,star_3_row,star_4_row,star_5_row,star_6_row,star_7_row,star_0_col,star_1_col,star_2_col,star_3_col,star_4_col,star_5_col,star_6_col,star_7_col,slot_0_box_hw,slot_1_box_hw,slot_2_box_hw,slot_3_box_hw,slot_4_box_hw,slot_5_box_hw,slot_6_box_hw,slot_7_box_hw,star_0_sz,star_1_sz,star_2_sz,star_3_sz,star_4_sz,star_5_sz,star_6_sz,star_7_sz,bg_row_offset,bg_col_offset,scale_4c,int_time,hot_px_brightness,image_0_fcn,image_1_fcn,image_2_fcn,image_3_fcn,image_4_fcn,image_5_fcn,image_6_fcn,image_7_fcn,image_0_row,image_1_row,image_2_row,image_3_row,image_4_row,image_5_row,image_6_row,image_7_row,image_0_col,image_1_col,image_2_col,image_3_col,image_4_col,image_5_col,image_6_col,image_7_col,sample_time,search_success_0,search_success_1,search_success_2,search_success_3,search_success_4,search_success_5,search_success_6,search_success_7
2018.299,31,0,0,30,-30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,394.83,-359.16,-292.86,177.32,-194.59,166.08,224.39,-158.71,183.53,139.65,-334.46,259.02,243.53,-107.14,-333.19,-131.24,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,362,206,1.42,1.696,0,1,1,1,1,1,1,1,1,391,-363,-297,173,-199,144,220,-162,180,136,-339,255,240,-129,-337,-135,909442332.677,1,1,1,1,1,0,1,1
2018.299,32,0,0,30,-18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-210.25,-317.03,217.5,240.64,-404.99,327,-163.53,-401.93,366.87,-202.28,-185.68,250.22,358.2,-392.94,-411.06,152.03,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,665,69,1.42,1.696,0,1,1,1,1,1,1,1,1,-214,-321,214,237,-409,323,-168,-406,363,-206,-190,246,354,-397,-415,148,909442415.968,1,1,1,1,1,1,1,1
2018.299,33,0,0,30,-6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-393.1,194.71,377.64,-258.3,-135.9,270.34,157.03,-384.89,170.85,289.18,-313.97,-316.79,217.16,-125.93,-332.68,371.45,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,622,0,1.42,1.696,0,1,1,1,1,1,1,0,1,-397,183,374,-262,-140,266,511,-403,167,287,-318,-321,213,-130,511,374,909442499.259,1,0,1,1,1,1,0,0
2018.299,34,0,0,30,6,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,359.64,-371.53,-210.67,-142.28,370.04,216.46,123.91,-230.35,384.66,146.93,189.06,-410.16,-118.81,-249.99,236.3,-184.19,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,774,651,1.42,1.696,0,1,1,1,1,1,1,0,1,356,-375,-215,-146,366,212,511,-230,381,143,185,-414,-123,-254,511,-180,909442582.267,1,1,1,1,1,1,0,0
2018.299,35,0,0,30,18,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-234.49,143.98,274.37,-263.44,-139.12,303.18,-289.27,-235.96,-384.63,-397.02,115.68,362.53,-169.05,-231.85,-157.37,182.55,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,905,822,1.42,1.696,0,1,1,1,1,1,1,1,0,-238,140,271,-267,-144,299,-293,511,-389,-401,111,359,-173,-236,-161,511,909442665.552,1,1,1,1,1,1,1,0
2018.299,36,0,0,30,30,60,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-151.47,338.89,269.5,107.48,-329.13,225.4,-361.7,402.5,-298.62,331,-352.14,-259.22,-314.95,213.25,222.26,137.55,60,60,60,60,60,60,60,60,8,8,8,8,8,8,8,8,916,403,1.42,1.696,0,1,1,1,1,1,1,1,0,-156,335,266,103,-333,221,-366,511,-303,327,-356,-263,-319,209,218,511,909442748.836,1,1,1,1,1,1,1,0
2018.299,1,0,0,-30,-30,80,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,-285.59,-164.88,119.26,-282.31,352.66,259.9,109.95,197.21,-265.61,241.03,-353.91,107.9,215.79,377.83,326.19,-104.25,80,80,80,80,80,80,80,80,8,8,8,8,8,8,8,8,513,468,1.42,1.696,0,1,1,1,1,1,1,1,0,-290,-169,115,-286,349,256,106,511,-270,237,-358,104,212,374,322,511,909442831.864,1,1,1,1,1,1,1,0
2018.299,2,0,0,-30,-18,80,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,263.73,-104.02,135.67,-352.52,177.27,339.3,-211.07,-278.16,347.43,339.31,131.89,-325.79,-319.05,-186.52,-181.21,349.84,80,80,80,80,80,80,80,80,8,8,8,8,8,8,8,8,135,870,1.42,1.696,0,1,1,1,1,1,1,0,1,260,-108,132,-356,173,335,511,-290,344,335,128,-330,-323,-190,511,344,909442915.152,1,1,1,1,1,1,0,0
2018.299,3,0,0,-30,-6,80,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,204.64,374.47,109.77,-334.03,392.57,-266.08,229.85,-100.27,-161.64,-128.52,302.7,-231,155.6,282.73,-351.13,200.77,80,80,80,80,80,80,80,80,8,8,8,8,8,8,8,8,919,356,1.42,1.696,0,1,1,1,1,1,1,1,1,201,370,106,-338,388,-270,226,-105,-166,-132,299,-235,151,279,-355,196,909442998.418,1,1,1,1,1,1,1,1
2018.299,4,0,0,-30,6,80,-13,8,9,9.5,9.75,10,10.25,10.5,10.75,369.17,-146.2,-339.8,-344.86,337.76,-202.24,157.6,305.81,168.4,240.69,124.56,-193.71,-351.86,-361.31,-249.74,-187.73,80,80,80,80,80,80,80,80,8,8,8,8,8,8,8,8,243,244,1.42,1.696,0,1,1,1,1,1,1,1,0,365,-150,-344,-349,334,-206,173,511,164,237,120,-198,-356,-365,-250,511,909443081.442,1,1,1,1,1,1,0,0
